longitude,latitude,start_date,end_date,label,id,index
-55.0502167675669,-11.8803703923065,2003-11-01,2004-07-11,Pasture,100,7
-55.0502167675669,-11.8803703923065,2004-09-13,2005-06-26,Pasture,101,7
-55.0502167675669,-11.8803703923065,2005-09-14,2006-07-12,Pasture,102,7
-55.0502167675669,-11.8803703923065,2006-09-14,2007-08-29,Pasture,103,7
-55.0502167675669,-11.8803703923065,2007-07-28,2008-06-25,Double_cropping,104,7
-55.0502167675669,-11.8803703923065,2008-08-28,2009-07-28,Double_cropping,105,7
-55.0502167675669,-11.8803703923065,2009-09-30,2010-08-29,Double_cropping,106,7
-55.0502167675669,-11.8803703923065,2010-08-13,2011-06-26,Double_cropping,107,7
-55.0502167675669,-11.8803703923065,2011-08-29,2012-09-13,Double_cropping,108,7
-55.0502167675669,-11.8803703923065,2012-10-15,2013-07-12,Double_cropping,109,7
-55.0502167675669,-11.8803703923065,2013-09-30,2014-07-28,Double_cropping,110,7
-55.0502167675669,-11.8803703923065,2014-09-14,2015-07-28,Double_cropping,111,7
-55.0502167675669,-11.8803703923065,2015-09-14,2016-07-11,Double_cropping,112,7
-55.0497957027253,-11.8782870589733,2000-09-13,2001-08-13,Forest,113,8
-55.0497957027253,-11.8782870589733,2001-10-16,2002-07-28,Forest,114,8
-55.0497957027253,-11.8782870589733,2002-11-01,2003-06-26,Forest,115,8
-55.0497957027253,-11.8782870589733,2003-11-01,2004-07-11,Single_cropping,116,8
-55.0497957027253,-11.8782870589733,2004-10-31,2005-07-12,Pasture,117,8
-55.0497957027253,-11.8782870589733,2005-11-17,2006-06-26,Pasture,118,8
-55.0497957027253,-11.8782870589733,2006-09-14,2007-06-10,Pasture,119,8
-55.0497957027253,-11.8782870589733,2007-09-30,2008-07-11,Pasture,120,8
-55.0497957027253,-11.8782870589733,2008-09-13,2009-08-13,Double_cropping,121,8
-55.0497957027253,-11.8782870589733,2009-09-30,2010-08-13,Double_cropping,122,8
-55.0497957027253,-11.8782870589733,2010-09-30,2011-07-12,Double_cropping,123,8
-55.0497957027253,-11.8782870589733,2011-09-14,2012-07-11,Double_cropping,124,8
-55.0497957027253,-11.8782870589733,2012-09-29,2013-07-12,Double_cropping,125,8
-55.0497957027253,-11.8782870589733,2013-09-14,2014-08-29,Double_cropping,126,8
-55.0497957027253,-11.8782870589733,2014-09-14,2015-07-12,Double_cropping,127,8
-55.0497957027253,-11.8782870589733,2015-08-29,2016-08-28,Double_cropping,128,8
-55.0493747171064,-11.8762037256402,2000-09-29,2001-08-13,Forest,129,9
-55.0493747171064,-11.8762037256402,2001-10-16,2002-06-10,Forest,130,9
-55.0493747171064,-11.8762037256402,2002-08-13,2003-06-26,Forest,131,9
-55.0493747171064,-11.8762037256402,2003-11-01,2004-07-11,Single_cropping,132,9
-55.0493747171064,-11.8762037256402,2004-11-16,2005-07-12,Pasture,133,9
-55.0493747171064,-11.8762037256402,2005-08-29,2006-08-29,Double_cropping,134,9
-55.0493747171064,-11.8762037256402,2006-10-16,2007-07-12,Double_cropping,135,9
-55.0493747171064,-11.8762037256402,2007-10-16,2008-07-11,Pasture,136,9
-55.0493747171064,-11.8762037256402,2008-08-28,2009-08-13,Double_cropping,137,9
-55.0493747171064,-11.8762037256402,2009-08-13,2010-08-13,Double_cropping,138,9
-55.0493747171064,-11.8762037256402,2010-09-14,2011-07-28,Double_cropping,139,9
-55.0493747171064,-11.8762037256402,2011-09-14,2012-07-11,Double_cropping,140,9
-55.0493747171064,-11.8762037256402,2012-09-29,2013-07-12,Double_cropping,141,9
-55.0493747171064,-11.8762037256402,2013-09-30,2014-08-13,Double_cropping,142,9
-55.0493747171064,-11.8762037256402,2014-09-14,2015-07-28,Double_cropping,143,9
-55.0493747171064,-11.8762037256402,2015-08-29,2016-07-11,Double_cropping,144,9
